ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
15,shift5175,Polysemy,3,ACCEPTED,→,to lead,2834,to drive (the car),2559,French,159,French,159,to lead,to drive (the car),conduire,conduire
64,shift3014,Polysemy,1,NEW,—,to chew,2425,to eat,2569,Latin,245,Latin,245,"to chew, masticate",to eat,"manduco, -are","manduco, -are"
80,shift4865,Polysemy,2,NEW,→,drinking vessel,4481,hearts (in cards),1589,Romanian,139,Romanian,139,"goblet (usually of wood), bowl, dish; tumbler (drinking glass); cup",hearts (in cards),cupă,cupă
91,shift4373,Polysemy,3,ACCEPTED,—,letter (character),199,letter (text),200,Spanish,158,Spanish,158,letter (character),(dated) letter (text),letra,letra
92,shift4373,Polysemy,4,ACCEPTED,—,letter (character),199,letter (text),200,Italian,161,Italian,161,letter (character),letter (text),lettera,lettera
93,shift4373,Polysemy,5,ACCEPTED,—,letter (character),199,letter (text),200,French,159,French,159,letter (character),letter (text),lettre,lettre
94,shift4373,Polysemy,6,ACCEPTED,—,letter (character),199,letter (text),200,Latin,245,Latin,245,"a letter, a written sign or mark signifying a sound","(usually in the plural - litterae) letter, epistle",littera,littera
97,shift4373,Polysemy,9,ACCEPTED,—,letter (character),199,letter (text),200,Catalan,312,Catalan,312,letter (character),letter (written message),lletra,lletra
99,shift4373,Polysemy,11,ACCEPTED,—,letter (character),199,letter (text),200,Galician,817,Galician,817,letter (character),letter (text),letra,letra
169,shift2622,Derivation,1,ACCEPTED,→,stone (piece of rock),4281,"to calculate, count",2393,Latin,245,Latin,245,pebble,"count, calculate",calculus,"calculo, -āre"
202,shift8374,Polysemy,1,ACCEPTED,→,donkey,4463,supporting device,4343,Spanish,158,Spanish,158,donkey,sawhorse,burro,burro
206,shift8374,Polysemy,5,ACCEPTED,→,donkey,4463,supporting device,4343,Romanian,139,Romanian,139,donkey,"sawhorse; trestle, supporting device",măgar,măgar
212,shift8108,Polysemy,6,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,French,159,French,159,butterfly,butterfly stroke,papillon,papillon
217,shift8108,Polysemy,11,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Italian,161,Italian,161,butterfly,butterfly stroke,farfalla,farfalla
219,shift8108,Polysemy,13,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Romanian,139,Romanian,139,butterfly,butterfly stroke,fluture,fluture
221,shift8108,Polysemy,15,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Brazilian Portuguese,284,Brazilian Portuguese,284,butterfly,butterfly stroke,borboleta,borboleta
222,shift8108,Polysemy,16,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Portuguese,117,Portuguese,117,butterfly,butterfly stroke,mariposa,mariposa
223,shift8108,Polysemy,17,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Spanish,158,Spanish,158,butterfly,butterfly stroke,mariposa,mariposa
249,shift1365,Polysemy,7,ACCEPTED,→,strong,4304,very,3761,French,159,French,159,strong,very,fort,fort
256,shift5124,Polysemy,1,NEW,→,"state, situation",4250,state (sovereign polity),4249,Latin,245,Latin,245,state (condition),state (sovereign polity),status,status
293,shift4986,Polysemy,1,ACCEPTED,—,sheath,4026,vagina,3745,Latin,245,Latin,245,sheath,vagina,vagina,vagina
301,shift4986,Polysemy,9,ACCEPTED,—,sheath,4026,vagina,3745,Italian,161,Italian,161,(archaic) sheath,vagina,vagina,vagina
332,shift0975,Polysemy,5,ACCEPTED,—,to fall down,2605,to die,2517,Latin,245,Latin,245,to fall,"to perish, to die","cado, -ere","cado, -ere"
334,shift0975,Polysemy,7,ACCEPTED,?,to fall down,2605,to die,2517,Spanish,158,Spanish,158,to fall,to perish,caer,caer
345,shift0975,Polysemy,18,ACCEPTED,→,to fall down,2605,to die,2517,French,159,French,159,to fall down,to be killed,tomber,tomber
369,shift5304,Polysemy,3,ACCEPTED,→,dough,4470,money,700,Catalan,312,Catalan,312,dough,(colloquial) money,pasta,pasta
370,shift5304,Polysemy,4,ACCEPTED,→,dough,4470,money,700,Spanish,158,Spanish,158,(colloquial) dough,money,pasta,pasta
384,shift1402,Polysemy,4,ACCEPTED,→,blind,3624,blunt,3637,Portuguese,117,Portuguese,117,blind,blunt,cego,cego
438,shift0065,Polysemy,1,ACCEPTED,—,noon,1875,South,4179,Romanian,139,Romanian,139,"noon, midday",South (obs.),amiază,amiază
441,shift0065,Polysemy,4,ACCEPTED,—,noon,1875,South,4179,Latin,245,Latin,245,"noon, midday",South,meridies,meridies
450,shift0065,Polysemy,13,ACCEPTED,→,noon,1875,South,4179,French,159,French,159,noon,south,midi,midi
461,shift2165,Polysemy,3,ACCEPTED,→,lion (Panthera leo),223,brave person,3676,Spanish,158,Spanish,158,lion,dare devil,león,león
495,shift7646,Derivation,2,NEW,→,wound (n.),125,yarrow,2076,Spanish,158,Spanish,158,wound (n.),(dialect) yarrow,herida,yerba de las heridas
501,shift7070,Polysemy,1,NEW,→,midwife,656,gossiper,822,Spanish,158,Spanish,158,midwife,gossiper,comadre,comadre
518,shift2205,Polysemy,5,ACCEPTED,→,child (son or daughter),958,sprout,4227,Romanian,139,Romanian,139,child (dialect. bastard),side offspring of a plant,copil,copil
521,shift2205,Polysemy,8,ACCEPTED,→,child (son or daughter),958,sprout,4227,Latin,245,Latin,245,"that which is born, an offspring (usu. of beasts, occ. of human beings), the young (of an animal), the children (of a parent), the young born at one time, brood, litter; the young while still in the womb","an offshoot, branch, sucker, sapling, etc., produced by a plant",fetus,fetus
522,shift2205,Polysemy,9,ACCEPTED,→,child (son or daughter),958,sprout,4227,Spanish,158,Spanish,158,child,"shoot, sprout",retoño,retoño
523,shift2205,Polysemy,10,ACCEPTED,↔,child (son or daughter),958,sprout,4227,Spanish,158,Spanish,158,"descendant, offspring","shoot, sprout",vástago,vástago
524,shift2205,Polysemy,11,ACCEPTED,↔,child (son or daughter),958,sprout,4227,French,159,French,159,"child, son (colloquial)","shoot, sprout",rejeton,rejeton
547,shift0360,Polysemy,3,ACCEPTED,?,to touch,3307,to evoke (a feeling),2588,French,159,French,159,to touch,"to touch, to move (feelings); to offend",toucher,toucher
559,shift8400,Polysemy,1,ACCEPTED,→,Saint Demetrius,3923,October,4521,Aromanian,1231,Aromanian,1231,Saint Demetrius,October,Sãnmedru,Sãnmedru
560,shift5763,Polysemy,1,ACCEPTED,→,to practice witchcraft,2994,to prevent,3004,French,159,French,159,to practice witchcraft in order to get rid of negative influences,to prevent,conjurer,conjurer
580,shift2355,Polysemy,3,ACCEPTED,→,enemy,3840,evil spirit,3877,Spanish,158,Spanish,158,enemy,devil,enemigo,enemigo
600,shift3143,Polysemy,2,ACCEPTED,→,"clasp, buckle",990,fibula (anat.),1270,New Latin,1067,New Latin,1067,"pin, buckle",calf bone (anat.),fibula,fibula
605,shift0786,Polysemy,4,ACCEPTED,→,to breathe,2373,wind,88,Latin,245,Latin,245,breath,wind,spiritus,spiritus
612,shift5765,Polysemy,1,NEW,→,to leave,2838,to begin,2331,French,159,French,159,to leave,to begin,partir,partir
619,shift3286,Derivation,7,ACCEPTED,→,ashes,2040,grey,846,Romanian,139,Romanian,139,ashes,grey,cenușă,cenușiu
626,shift2422,Derivation,2,ACCEPTED,→,oak,4510,pole (long stick),427,Romanian,139,Romanian,139,pole,oak,"steajer, steajăr",stejar
630,shift6212,Derivation,3,ACCEPTED,→,lyre,274,Trimorphodon biscutatus,3441,Spanish,158,Spanish,158,lyre,Trimorphodon biscutatus,lira,culebra lira cabeza negra
640,shift0395,Polysemy,3,ACCEPTED,—,time,2200,hour,1675,French,159,French,159,time,hour,heure,heure
655,shift0892,Polysemy,4,ACCEPTED,←,deep,4404,"high (size), tall",1624,Latin,245,Latin,245,deep,high,altus,altus
722,shift1142,Polysemy,3,ACCEPTED,?,to hear,2758,rumour,1522,Spanish,158,Spanish,158,audition,hearing,oída,oída
731,shift0502,Polysemy,7,ACCEPTED,?,ear,3792,"opening, hole",4551,French,159,French,159,ear,"handle (vessel), earth board, anchor blade, ear, lugworm",oreille,oreille
763,shift3773,Polysemy,1,NEW,—,to touch,3307,"to try, to attempt",3318,French,159,French,159,to touch,"to try, to attempt",tâter,tâter
789,shift5935,Polysemy,1,ACCEPTED,→,dog,4458,trigger (of a gun),3439,Galician,817,Galician,817,dog,trigger (of a gun),can,can
844,shift6143,Derivation,1,ACCEPTED,→,drinking vessel,4481,chanterelle,942,New Latin,1067,New Latin,1067,drinking vessel,chanterelle,cantharus,cantharellus
937,shift8522,Polysemy,2,ACCEPTED,→,to salt,3109,"to disgrace, dishonor",2532,Spanish,158,Spanish,158,to salt,"to disgrace, to dishonour",salar,salar
998,shift2081,Polysemy,5,ACCEPTED,—,bread,3677,food,1335,French,159,French,159,bread,food,pain,pain
1030,shift6621,Derivation,1,ACCEPTED,→,bride,3687,husband,1694,Romanian,139,Romanian,139,(dialectal) bride,"(ironic, Moldova) husband",mirează,mireaz
1037,shift5404,Polysemy,6,ACCEPTED,→,bathroom,3531,toilet,3395,Spanish,158,Spanish,158,bathroom,toilet,baño,baño
1038,shift5404,Polysemy,7,ACCEPTED,→,bathroom,3531,toilet,3395,Spanish,158,Spanish,158,"bathroom sink, washbasin",toilet,lavabo,lavabo
1052,shift1437,Polysemy,4,ACCEPTED,→,to see/to look at,3121,to act according to,2218,Spanish,158,Spanish,158,to see/to look at,"to observe, obey",observar,observar
1053,shift1437,Polysemy,5,ACCEPTED,→,to see/to look at,3121,to act according to,2218,Italian,161,Italian,161,to see/to look at,"to observe, obey",osservare,osservare
1054,shift1437,Polysemy,6,ACCEPTED,→,to see/to look at,3121,to act according to,2218,French,159,French,159,to see/to look at,"to observe, obey",observer,observer
1055,shift1437,Polysemy,7,ACCEPTED,→,to see/to look at,3121,to act according to,2218,Latin,245,Latin,245,"to watch, to keep an eye on, to observe, to give attention to","to observe, to respect, to recognize (rules, laws, agreements etc.)","observo, -are","observo, -are"
1067,shift4868,Derivation,2,ACCEPTED,→,diamond,4428,diamonds (in cards),4429,Catalan,312,Catalan,312,diamond,diamonds (in cards),diamant,diamants
